Harga Sewa,Kota,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Sertifikat,Daya Listrik,Kamar Tidur Pembantu,Kamar Mandi Pembantu,Garasi,Jumlah Lantai,Kondisi Properti,Harga Sewa Log
110000000.0,Bandung,3.0,3.0,365.0,400.0,2,SHM,10800.0,1.0,1.0,2.0,2.0,Renovasi Minimum,18.5159909328476
300000000.0,Jakarta Selatan,3.0,3.0,300.0,250.0,1,SHM,10800.0,0.0,0.0,1.0,2.0,Bagus,19.519293035953808
115000000.0,Badung,2.0,2.0,150.0,150.0,0,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,18.560442695023177
42000000.0,Bekasi,4.0,2.0,112.0,100.0,2,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,17.553180200057167
130000000.0,Malang,3.0,2.0,347.0,200.0,0,SHM,10800.0,0.0,0.0,0.0,1.0,Bagus,18.683045016112164
85000000.0,Tangerang,4.0,3.0,144.0,146.0,1,SHM,10800.0,1.0,1.0,0.0,2.0,Bagus,18.258161826219297
55000000.0,Tangerang,3.0,2.0,144.0,88.0,1,PPJB,10800.0,1.0,1.0,0.0,2.0,Bagus,17.822843761378564
55000000.0,Tangerang,3.0,2.0,80.0,82.0,1,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,17.822843761378564
48000000.0,Jakarta Barat,2.0,2.0,60.0,87.0,1,SHM,10800.0,1.0,0.0,1.0,1.0,Bagus,17.6867115897055
28000000.0,Gresik,4.0,3.0,105.0,127.0,0,SHM,10800.0,1.0,1.0,0.0,2.0,Bagus,17.147715103853763
70000000.0,Bandung,3.0,4.0,134.0,130.0,1,SHM,10800.0,1.0,0.0,0.0,1.0,Bagus,18.064005814299346
65000000.0,Bandung,3.0,2.0,162.0,180.0,0,SHM,10800.0,1.0,1.0,0.0,1.0,Bagus,17.989897843244528
90000000.0,Tangerang,3.0,2.0,212.0,120.0,1,SHM,10800.0,0.0,0.0,1.0,2.0,Bagus,18.31532023940565
130000000.0,Jakarta Timur,3.0,3.0,500.0,200.0,2,SHM,10800.0,0.0,0.0,2.0,2.0,Bagus,18.683045016112164
65000000.0,Tangerang,3.0,2.0,126.0,106.0,1,SHM,10800.0,1.0,1.0,1.0,2.0,Bagus,17.989897843244528
42000000.0,Tangerang,3.0,2.0,72.0,72.0,1,PPJB,10800.0,0.0,0.0,0.0,2.0,Bagus,17.553180200057167
68000000.0,Jakarta Selatan,4.0,4.0,430.0,700.0,4,SHM,10800.0,3.0,2.0,2.0,3.0,Bagus,18.035018277846262
60000000.0,Tangerang,3.0,3.0,128.0,150.0,2,PPJB,10800.0,1.0,1.0,0.0,2.0,Bagus,17.909855136853043
65000000.0,Tangerang,3.0,2.0,84.0,84.0,1,PPJB,10800.0,0.0,0.0,0.0,2.0,Bagus,17.989897843244528
80000000.0,Bekasi,4.0,5.0,205.0,157.0,2,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,18.197537205138154
72000000.0,Tangerang,3.0,2.0,66.0,86.0,1,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,18.09217669086922
290000000.0,Tangerang,5.0,5.0,286.0,337.0,2,SHM,10800.0,1.0,1.0,2.0,3.0,Baru,19.48539148439307
80000000.0,Bandung,3.0,2.0,200.0,200.0,0,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,18.197537205138154
275000000.0,Jakarta Selatan,4.0,3.0,218.0,200.0,1,SHM,10800.0,1.0,1.0,0.0,2.0,Bagus,19.432281659267208
5000000.0,Bogor,2.0,1.0,73.0,45.0,1,SHM,10800.0,0.0,0.0,0.0,1.0,Bagus,15.424948670398354
95000000.0,Bandung,4.0,3.0,260.0,130.0,0,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,18.36938746009113
110000000.0,Bandung,4.0,2.0,220.0,220.0,0,SHM,10800.0,1.0,1.0,2.0,2.0,Bagus,18.5159909328476
325000000.0,Jakarta Selatan,5.0,5.0,366.0,400.0,3,SHM,10800.0,0.0,0.0,2.0,3.0,Bagus,19.599335743370936
