Harga Sewa;Lokasi;Kamar Tidur;Kamar Mandi;Luas Tanah;Luas Bangunan;Carport;Sertifikat;Daya Listrik;Kamar Tidur Pembantu;Kamar Mandi Pembantu;Garasi;Jumlah Lantai;Kondisi Properti
40000000;Harapan Indah, Bekasi;3.0;2.0;144;100;1;Lainnya;Lainnya;0;0;0;1;Lainnya
85000000;Pantai Indah Kapuk 2, Jakarta Utara;3.0;3.0;90;120;2;PPJB;4400;1;1;0;2;Bagus
225000000;Lippo Cikarang, Cikarang;5.0;3.0;448;250;4;SHM;7700;1;1;0;2;Bagus
160000000;Pondok Indah, Jakarta Selatan;4.0;4.0;200;300;1;SHM;Lainnya;0;0;1;2;Sudah Renovasi
270000000;Pondok Indah, Jakarta Selatan;3.0;3.0;186;250;1;SHM;Lainnya;0;0;1;2;Bagus
120000000;Meruya, Jakarta Barat;4.0;3.0;112;300;0;HGB;Lainnya;0;0;0;3;Bagus
89000000;Pejaten Timur, Jakarta Selatan;4.0;3.0;160;200;2;SHM;Lainnya;0;0;0;2;Lainnya
150000000;Pondok Indah, Jakarta Selatan;4.0;3.0;200;300;0;SHM;Lainnya;0;0;;;
29000000;Babelan, Bekasi;3.0;2.0;60;120;1;SHM;2200;0;0;0;2;Bagus
95000000;Denpasar Barat, Denpasar;3.0;2.0;53;70;1;SHM;;0;0;;;
900000000;Kemang, Jakarta Selatan;4.0;2.0;1599;800;0;SHM;Lainnya;0;0;0;1;Bagus
95000000;Gading Serpong, Tangerang;3.0;2.0;212;106;0;Lainnya;Lainnya;0;0;0;2;Lainnya
50000000;Kelapa Gading, Jakarta Utara;3.0;1.0;105;100;0;Lainnya;Lainnya;0;0;0;1;Bagus
100000000;Gading Serpong, Tangerang;4.0;2.0;306;225;1;SHM;Lainnya;1;1;0;1;Bagus
60000000;Harapan Indah, Bekasi;4.0;3.0;80;120;2;SHM;;0;0;0;;Bagus
350000000;Umalas, Badung;3.0;5.0;320;280;1;SHM;;;;;;
320000000;Pantai Indah Kapuk, Jakarta Utara;3.0;4.0;160;450;1;SHM;Lainnya;0;0;1;4;Bagus
110000000;Alam Sutera, Tangerang;4.0;4.0;200;167;0;SHM;3500;1;1;1;2;Bagus
35000000;Taman Kopo Indah, Bandung;2.0;1.0;102;90;1;SHM;2200;0;0;0;1;Bagus
95000000;Kelapa Gading, Jakarta Utara;4.0;3.0;90;150;1;SHM;Lainnya;0;0;0;2;Bagus
300000000;Golf Island, Jakarta Utara;3.0;3.0;160;160;0;PPJB;4400;1;1;1;2;Bagus
140000000;Pantai Indah Kapuk 2, Jakarta Utara;4.0;4.0;200;200;0;PPJB;4400;1;1;2;2;Bagus
925000000;Cempaka Putih, Jakarta Pusat;;;1000;500;0;SHM;Lainnya;0;0;0;1;Renovasi Total
475000000;Cempaka Putih, Jakarta Pusat;;;601;400;0;SHM;Lainnya;0;0;0;1;Renovasi Total
67000000;Kelapa Gading, Jakarta Utara;4.0;3.0;102;144;1;SHM;Lainnya;0;0;0;2;Sudah Renovasi
96000000;Sunter, Jakarta Utara;6.0;3.0;144;216;2;SHM;Lainnya;0;0;0;2;Bagus
145000000;Pluit, Jakarta Utara;3.0;2.0;160;240;1;SHM;;;;0;;
65000000;Semarang Utara, Semarang;4.0;3.0;190;170;1;SHM;2200;1;1;0;1;Bagus
90000000;Denpasar Barat, Denpasar;2.0;2.0;50;55;1;SHM;Lainnya;0;0;0;2;Bagus
914000000;Pondok Indah, Jakarta Selatan;5.0;4.0;700;541;2;SHM;Lainnya;3;1;2;2;Bagus
260000000;Kemang, Jakarta Selatan;3.0;2.0;130;300;2;SHM;;;;;;
100000000;Turangga, Bandung;4.0;4.0;243;400;1;SHM;3500;0;0;1;2;Bagus
195000000;Denpasar Barat, Denpasar;3.0;3.0;325;206;1;SHM;;;0;;;
75000000;Denpasar Timur, Denpasar;3.0;2.0;100;110;1;SHM;;0;0;;;
275000000;Tegalsari, Surabaya;3.0;3.0;618;500;1;SHM;;;0;;;
170000000;Kota Baru Parahyangan, Bandung;5.0;5.0;295;245;2;SHM;;;;;;
125000000;Semarang Tengah, Semarang;5.0;4.0;347;350;2;SHM;5500;1;1;1;2;Bagus
33000000;Pantai Indah Kapuk 2, Jakarta Utara;3.0;2.0;60;84;1;PPJB;Lainnya;0;0;0;2;Bagus
549000000;Pantai Indah Kapuk, Jakarta Utara;3.0;3.0;250;300;1;SHM;Lainnya;0;0;1;2;Bagus
37000000;Lippo Karawaci, Tangerang;3.0;2.0;65;65;1;Lainnya;2200;0;0;0;2;Lainnya
300000000;Pantai Indah Kapuk, Jakarta Utara;4.0;4.0;200;560;1;HGB;Lainnya;0;0;3;4;Bagus
110000000;Kelapa Gading, Jakarta Utara;3.0;2.0;240;180;1;SHM;;;;;;
110000000;Dukuh Kupang, Surabaya;3.0;2.0;400;300;6;Hak Pakai;5500;0;0;1;1;Bagus
37000000;Waru, Sidoarjo;3.0;2.0;161;100;1;SHM;2200;1;1;1;1;Sudah Renovasi
275000000;Ubud, Gianyar;2.0;3.0;1050;165;0;SHM;5500;0;0;0;;
450000000;Kebayoran Baru, Jakarta Selatan;4.0;2.0;372;172;5;SHM;4400;1;1;0;1;Lainnya
700000000;Bandung Kota, Bandung;2.0;2.0;1100;600;0;Lainnya;Lainnya;0;0;0;1;Bagus
1000000000;Wiyung, Surabaya;2.0;2.0;60;80;1;SHM;1300;0;0;0;2;Bagus
250000000;Candisari, Semarang;4.0;4.0;256;248;0;SHM;3500;0;0;0;1;Bagus
185000000;Permata Buana, Jakarta Barat;4.0;3.0;180;275;1;SHM;4400;1;1;1;3;Bagus
300000000;Tibubeneng, Badung;5.0;6.0;300;400;0;SHM;7700;0;0;;;
220000000;Gading Serpong, Tangerang;4.0;3.0;200;229;4;PPJB;6600;1;1;0;2;Bagus
64000000;Kemang, Jakarta Selatan;6.0;4.0;1500;450;12;SHM;;;;0;;
350000000;Bangka, Jakarta Selatan;3.0;4.0;104;311;1;SHM;Lainnya;1;1;1;1;Bagus
450000000;Lippo Cikarang, Cikarang;4.0;4.0;351;429;1;SHM;10000;1;1;2;;Bagus
500000000;Tegalsari, Surabaya;4.0;4.0;780;650;12;HGB;Lainnya;1;1;12;2;Bagus
225000000;Antasari, Jakarta Selatan;4.0;1.0;150;200;2;SHM;Lainnya;0;0;0;2;Bagus
74000000;Kebayoran Lama, Jakarta Selatan;5.0;3.0;700;541;2;SHM;Lainnya;2;1;2;2;Bagus
375000000;Pondok Indah, Jakarta Selatan;5.0;4.0;320;300;2;SHM;Lainnya;0;0;2;2;Bagus
325000000;Cilandak, Jakarta Selatan;4.0;4.0;260;460;2;SHM;7700;1;1;0;2;Bagus
37000000;Pajajaran, Bandung;2.0;1.0;45;45;0;SHM;Lainnya;0;0;0;1;Bagus
265000000;Jati Padang, Jakarta Selatan;5.0;4.0;205;330;1;SHM;Lainnya;1;1;1;2;Sudah Renovasi
450000000;Kota Baru Parahyangan, Bandung;5.0;4.0;480;500;2;SHM;Lainnya;0;0;2;2;Bagus
200000000;Sunset Road, Badung;3.0;4.0;150;250;1;Lainnya;;0;0;0;;
